Time,Symbol,Qty,Side,Entry,Exit,PnL
2025-07-18 13:24:47,BEL,4,BUY,396.95,396.75,-0.7999999999999545
2025-07-18 13:28:53,POWERGRID,6,BUY,295.9,295.7,-1.1999999999999318
2025-07-18 13:29:31,SBIN,2,BUY,822.5,821.6,-1.7999999999999545
2025-07-18 13:30:19,TATASTEEL,11,BUY,161.63,161.66,0.3300000000000125
2025-07-18 13:36:09,JSWSTEEL,1,BUY,1028.1,1028.3,0.20000000000004547
2025-07-18 13:51:37,HCLTECH,1,BUY,1545.5,1543,-2.5
2025-07-18 13:59:51,ETERNAL,7,BUY,257.65,257.55,-0.6999999999997613
2025-07-18 14:02:36,NTPC,5,BUY,341.95,341.75,-0.9999999999999432
2025-07-18 14:03:13,RELIANCE,1,BUY,1474.1,1474.4,0.3000000000001819
2025-07-18 14:12:02,SHRIRAMFIN,2,BUY,650.75,649.1,-3.2999999999999545
2025-07-18 14:16:04,BEL,4,BUY,396.6,395.65,-3.800000000000182
2025-07-18 14:16:23,CIPLA,1,BUY,1474.5,1475.7,1.2000000000000455
2025-07-18 14:17:36,HDFCLIFE,2,BUY,740.1,740.1,0.0
2025-07-18 14:37:21,RELIANCE,1,BUY,1475.9,1474,-1.900000000000091
2025-07-18 14:37:40,SHRIRAMFIN,2,BUY,648.9,648.4,-1.0
2025-07-18 14:41:55,BHARTIARTL,1,BUY,1899.1,1901.9,2.800000000000182
2025-07-18 14:44:38,JIOFIN,6,BUY,317.05,316.95,-0.6000000000001364
2025-07-18 14:47:01,TATAMOTORS,2,BUY,680.1,679.85,-0.5
2025-07-18 14:49:44,AXISBANK,1,BUY,1102.7,1102.1,-0.6000000000001364
2025-07-18 14:50:47,COALINDIA,4,BUY,387.7,387.5,-0.7999999999999545
2025-07-18 14:51:15,ETERNAL,7,BUY,257.8,257.4,-2.8000000000002387
2025-07-18 14:52:10,HINDALCO,2,BUY,675,675.05,0.09999999999990905
2025-07-18 14:52:57,INFY,1,BUY,1587,1585.1,-1.900000000000091
2025-07-18 14:55:33,TATACONSUM,1,BUY,1095.1,1096.6,1.5
2025-07-18 15:01:52,JIOFIN,6,BUY,317.2,316.95,-1.5
2025-07-18 15:08:26,ETERNAL,7,BUY,257.65,257.15,-3.5
2025-07-18 15:09:58,INDUSINDBK,2,BUY,869.3,868.7,-1.199999999999818
2025-07-18 15:12:16,SBIN,2,BUY,823.6,823.35,-0.5
2025-07-18 15:16:44,DRREDDY,1,BUY,1257.1,1256.2,-0.8999999999998636
2025-07-18 15:17:40,HDFCLIFE,2,BUY,740.9,740,-1.7999999999999545
2025-07-18 15:19:01,JIOFIN,6,BUY,317.4,316.95,-2.699999999999932
2025-07-21 09:15:10,TATAMOTORS,2,BUY,680.25,680.5,0.5
2025-07-21 09:16:04,WIPRO,6,BUY,266.95,265.55,-8.399999999999864
2025-07-21 09:17:26,ADANIPORTS,1,BUY,1443.1,1434.4,-8.699999999999818
2025-07-21 09:19:07,DRREDDY,1,BUY,1257.5,1249.6,-7.900000000000091
2025-07-21 09:19:45,HCLTECH,1,BUY,1548.8,1539.3,-9.5
2025-07-21 09:20:58,INDUSINDBK,1,BUY,870.05,851.35,-18.699999999999932
2025-07-21 09:21:08,INFY,1,BUY,1586.1,1572,-14.099999999999909
2025-07-21 09:21:19,JSWSTEEL,1,BUY,1034.4,1023.4,-11.000000000000114
2025-07-21 09:22:15,NTPC,4,BUY,342.1,340.5,-6.400000000000091
2025-07-21 09:22:44,POWERGRID,5,BUY,294.15,293.9,-1.25
2025-07-21 09:22:54,RELIANCE,1,BUY,1476,1448.8,-27.200000000000045
2025-07-21 09:23:50,TATACONSUM,1,BUY,1095.9,1086.1,-9.800000000000182
2025-07-21 09:24:19,TECHM,1,BUY,1548.9,1535.5,-13.400000000000091
2025-07-22 10:06:40,HDFCLIFE,1,BUY,754.25,753.65,-0.6000000000000227
2025-07-22 10:27:13,JSWSTEEL,1,BUY,1040.5,1036,-4.5
2025-07-22 10:33:36,TATASTEEL,8,BUY,163.47,163.43,-0.31999999999993634
2025-07-22 10:39:12,BEL,3,BUY,403.95,402.2,-5.25
2025-07-22 10:41:00,ETERNAL,4,BUY,300.05,295.65,-17.600000000000136
2025-07-22 10:54:20,BAJFINANCE,1,BUY,949.7,943.4,-6.300000000000068
2025-07-22 11:00:14,JSWSTEEL,1,BUY,1038.7,1036.2,-2.5
2025-07-22 11:08:44,AXISBANK,1,BUY,1110.1,1103.2,-6.899999999999864
2025-07-22 11:25:54,HDFCLIFE,1,BUY,759.15,756.1,-3.0499999999999545
2025-07-22 11:26:28,HINDALCO,2,BUY,686.1,687.75,3.2999999999999545
2025-07-22 12:12:22,TATACONSUM,1,BUY,1084.3,1077.6,-6.7000000000000455
2025-07-22 12:16:17,WIPRO,5,BUY,261,259.75,-6.25
2025-07-22 12:30:34,INDUSINDBK,1,BUY,848.1,848.1,0.0
2025-07-22 12:31:36,JSWSTEEL,1,BUY,1037.9,1035.9,-2.0
2025-07-22 12:40:37,TATASTEEL,8,BUY,163.95,163.77,-1.4399999999998272
2025-07-22 12:48:26,BEL,3,BUY,401.75,401.15,-1.8000000000000682
2025-07-22 13:04:57,TATAMOTORS,2,BUY,677.65,677.8,0.2999999999999545
2025-07-22 13:24:09,NTPC,4,BUY,341.55,341.55,0.0
2025-07-22 13:44:19,HINDALCO,2,BUY,689.15,688.8,-0.7000000000000455
2025-07-22 13:46:20,INDUSINDBK,1,BUY,846.85,842.45,-4.399999999999977
2025-07-22 13:47:46,JIOFIN,4,BUY,312.8,312.4,-1.6000000000001364
2025-07-22 13:54:44,TATACONSUM,1,BUY,1082.8,1084.2,1.400000000000091
2025-07-22 14:01:56,BAJFINANCE,1,BUY,944.4,955.6,11.200000000000045
2025-07-22 14:04:01,COALINDIA,3,BUY,388.15,389.75,4.800000000000068
2025-07-22 14:04:25,DRREDDY,1,BUY,1244.4,1242.4,-2.0
2025-07-22 14:05:10,ETERNAL,4,BUY,296,302.05,24.200000000000045
2025-07-22 14:19:59,AXISBANK,1,BUY,1103.4,1100,-3.400000000000091
2025-07-22 14:25:19,HDFCLIFE,1,BUY,759.4,765.05,5.649999999999977
2025-07-22 14:30:17,NTPC,4,BUY,341.5,341.35,-0.599999999999909
2025-07-22 14:30:57,ONGC,5,BUY,245.36,246.3,4.699999999999989
2025-07-22 14:31:16,POWERGRID,4,BUY,295.85,297.45,6.399999999999864
2025-07-22 14:33:40,TATASTEEL,8,BUY,163.88,163.52,-2.8799999999998818
2025-07-22 14:38:07,BEL,3,BUY,402.65,401.95,-2.099999999999966
2025-07-22 14:47:25,TATACONSUM,1,BUY,1084.8,1083.2,-1.599999999999909
2025-07-22 14:53:01,BAJFINANCE,1,BUY,951.85,952.75,0.8999999999999773
2025-07-22 14:58:48,INDUSINDBK,1,BUY,845.8,842.65,-3.1499999999999773
2025-07-22 15:01:24,NTPC,4,BUY,341.4,341.2,-0.7999999999999545
2025-07-22 15:02:01,ONGC,5,BUY,246.32,246.14,-0.9000000000000341
2025-07-22 15:03:06,SHRIRAMFIN,2,BUY,642.7,639.45,-6.5
2025-07-22 15:10:16,WIPRO,5,BUY,259.75,259.8,0.25000000000005684
2025-07-22 15:10:20,COALINDIA,3,BUY,389.4,389,-1.1999999999999318
2025-07-22 15:10:23,ITC,3,BUY,416.95,415.85,-3.2999999999998977
2025-07-22 15:10:27,TATACONSUM,1,BUY,1084.3,1084.6,0.2999999999999545
2025-07-22 15:10:30,BEL,3,BUY,402.5,402.8,0.9000000000000341
2025-07-23 09:27:15,ITC,3,BUY,416,415.3,-2.099999999999966
2025-07-23 09:41:25,WIPRO,5,BUY,259.7,258.6,-5.4999999999998295
2025-07-23 09:45:25,AXISBANK,1,BUY,1101.5,1098.8,-2.7000000000000455
2025-07-23 09:47:40,BEL,3,BUY,403.1,400.6,-7.5
2025-07-23 09:49:49,DRREDDY,1,BUY,1240,1237.1,-2.900000000000091
2025-07-23 09:52:50,HDFCLIFE,1,BUY,765.2,759.85,-5.350000000000023
2025-07-23 09:55:41,INDUSINDBK,1,BUY,843.2,845.2,2.0
2025-07-23 10:14:17,ETERNAL,4,BUY,302.75,300,-11.0
2025-07-23 10:16:46,HINDALCO,1,BUY,690.05,691,0.9500000000000455
2025-07-23 10:19:04,JSWSTEEL,1,BUY,1033.2,1031.4,-1.7999999999999545
2025-07-23 10:21:55,ONGC,5,BUY,246.52,246.15,-1.8500000000000227
2025-07-23 10:30:44,BAJFINANCE,1,BUY,952.55,963.5,10.950000000000045
2025-07-23 10:32:22,COALINDIA,3,BUY,391.3,390.65,-1.9500000000001023
2025-07-23 10:37:04,JIOFIN,4,BUY,315,312.9,-8.400000000000091
2025-07-23 10:41:19,TATAMOTORS,1,BUY,689.7,690.3,0.599999999999909
2025-07-23 10:41:35,TATASTEEL,8,BUY,163.71,163.22,-3.9200000000000728
2025-07-23 11:02:54,BAJFINANCE,1,BUY,963.45,964.8,1.349999999999909
2025-07-23 11:05:26,DRREDDY,1,BUY,1241,1236.3,-4.7000000000000455
2025-07-23 11:22:08,WIPRO,5,BUY,259.75,259.2,-2.750000000000057
2025-07-23 11:28:40,COALINDIA,3,BUY,391.6,390.9,-2.1000000000001364
2025-07-23 11:35:56,JSWSTEEL,1,BUY,1034.7,1031.9,-2.7999999999999545
2025-07-23 11:42:03,SBIN,1,BUY,815.05,814.95,-0.09999999999990905
2025-07-23 11:43:50,TATAMOTORS,1,BUY,690,685.75,-4.25
2025-07-23 11:44:16,TATASTEEL,8,BUY,163.72,163.4,-2.5599999999999454
2025-07-23 11:49:56,BAJFINANCE,1,BUY,966.5,965.3,-1.2000000000000455
2025-07-23 12:00:16,NTPC,3,BUY,342.6,343.3,2.099999999999966
2025-07-23 12:12:39,BEL,3,BUY,398.4,398.1,-0.8999999999998636
2025-07-23 12:15:18,ETERNAL,4,BUY,300.35,299.1,-5.0
2025-07-23 12:17:49,HINDALCO,1,BUY,692.6,691.25,-1.3500000000000227
2025-07-23 12:23:33,POWERGRID,4,BUY,298.35,299.4,4.199999999999818
2025-07-23 12:32:15,BAJFINANCE,1,BUY,966.65,967.05,0.39999999999997726
2025-07-23 12:55:43,BEL,3,BUY,398.65,397.85,-2.3999999999998636
2025-07-23 13:16:47,AXISBANK,1,BUY,1102.8,1106.4,3.6000000000001364
2025-07-23 13:25:34,INDUSINDBK,1,BUY,845.55,849.5,3.9500000000000455
2025-07-23 13:26:25,JSWSTEEL,1,BUY,1030,1027.5,-2.5
2025-07-23 13:26:50,JIOFIN,4,BUY,313.15,313.05,-0.3999999999998636
2025-07-23 13:31:04,SBIN,1,BUY,816.35,816.85,0.5
2025-07-23 13:34:18,WIPRO,5,BUY,260.4,260.25,-0.7499999999998863
2025-07-23 13:46:47,SHRIRAMFIN,2,BUY,641.75,649.2,14.900000000000091
2025-07-23 14:11:20,DRREDDY,1,BUY,1236,1241.5,5.5
2025-07-23 14:13:39,HDFCLIFE,1,BUY,761.7,763.75,2.0499999999999545
2025-07-23 14:38:39,INDUSINDBK,1,BUY,853.2,849.85,-3.3500000000000227
2025-07-23 14:57:53,AXISBANK,1,BUY,1105.8,1104.8,-1.0
2025-07-23 15:10:33,ETERNAL,4,BUY,300.05,301.55,6.0
2025-07-23 15:10:37,TATAMOTORS,1,BUY,686.6,690,3.3999999999999773
2025-07-23 15:10:40,SHRIRAMFIN,2,BUY,650.75,654.25,7.0
2025-07-23 15:10:44,SBIN,1,BUY,816.6,819.9,3.2999999999999545
2025-07-23 15:10:47,BAJFINANCE,1,BUY,965.9,968.5,2.6000000000000227
2025-07-23 15:10:51,BEL,3,BUY,398.3,400.05,5.25
2025-07-23 15:10:54,JIOFIN,4,BUY,313.75,313.85,0.40000000000009095
2025-07-23 15:10:58,TATACONSUM,1,BUY,1057.9,1062,4.099999999999909
2025-07-23 15:11:01,WIPRO,5,BUY,260.75,261.6,4.250000000000114
2025-07-23 15:11:05,DRREDDY,1,BUY,1241.3,1249.1,7.7999999999999545
2025-07-23 15:11:08,HINDALCO,1,BUY,691.85,695.25,3.3999999999999773
2025-07-23 15:11:12,ITC,3,BUY,414.95,414.9,-0.1500000000000341
2025-07-23 15:11:15,JSWSTEEL,1,BUY,1030.1,1031.1,1.0
2025-07-23 15:11:19,NTPC,3,BUY,343.1,342.85,-0.75
2025-07-23 15:11:22,POWERGRID,4,BUY,298.95,299,0.20000000000004547
2025-07-23 15:11:26,TATASTEEL,8,BUY,162.81,162.75,-0.4800000000000182
2025-07-23 15:11:29,COALINDIA,3,BUY,390.65,390.75,0.3000000000000682
